COMPANY,MODEL,TYPE,MID-PRICE,CITY-MPG,HGW-MPG,AIRBAGS,DRIVETRAIN,NO-OF-CYL,ENG SIZE,HORSEPWR,TRANS,FUEL-CAP,PAS-CAP,LENGTH,WEIGHT,MANUFACTURER
Acura,Integra,Small,15.9,25,31,0,1,4,1.8,140,1,13.2,5,177,2705,0
Acura,Legend,Midsize,33.9,18,25,2,1,6,3.2,200,1,18.0,5,195,3560,0
Audi,90,Compact,29.1,20,26,1,1,6,2.8,172,1,16.9,5,180,3375,0
Audi,100,Midsize,37.7,19,26,2,1,6,2.8,172,1,21.1,6,193,3405,0
BMW,535i,Midsize,30.0,22,30,1,0,4,3.5,208,1,21.1,4,186,3640,0
Buick,Century,Midsize,15.7,22,31,1,1,4,2.2,110,0,16.4,6,189,2880,1
Buick,LeSabre,Large,20.8,19,28,1,1,6,3.8,170,0,18.0,6,200,3470,1
Buick,Roadmaster,Large,23.7,16,25,1,0,6,5.7,180,0,23.0,6,216,4105,1
Buick,Riviera,Midsize,26.3,19,27,1,1,6,3.8,170,0,18.8,5,198,3495,1
Cadillac,DeVille,Large,34.7,16,25,1,1,8,4.9,200,0,18.0,6,206,3620,1
Cadillac,Seville,Midsize,40.1,16,25,2,1,8,4.6,295,0,20.0,5,204,3935,1
Chevrolet,Cavalier,Compact,13.4,25,36,0,1,4,2.2,110,1,15.2,5,182,2490,1
Chevrolet,Corsica,Compact,11.4,25,34,1,1,4,2.2,110,1,15.6,5,184,2785,1
Chevrolet,Camaro,Sporty,15.1,19,28,2,0,6,3.4,160,1,15.5,4,193,3240,1
Chevrolet,Lumina,Midsize,15.9,21,29,0,1,4,2.2,110,0,16.5,6,198,3195,1
Chevrolet,Lumina_APV,Van,16.3,18,23,0,1,6,3.8,170,0,20.0,7,178,3715,1
Chevrolet,Astro,Van,16.6,15,20,0,2,6,4.3,165,0,27.0,8,194,4025,1
Chevrolet,Caprice,Large,18.8,17,26,1,0,8,5.0,170,0,23.0,6,214,3910,1
Chevrolet,Corvette,Sporty,38.0,17,25,1,0,8,5.7,300,1,20.0,2,179,3380,1
Chrylser,Concorde,Large,18.4,20,28,2,1,6,3.3,153,0,18.0,6,203,3515,1
Chrysler,LeBaron,Compact,15.8,23,28,2,1,4,3.0,141,0,16.0,6,183,3085,1
Chrysler,Imperial,Large,29.5,20,26,1,1,6,3.3,147,0,16.0,6,203,3570,1
Dodge,Colt,Small,9.2,29,33,0,1,4,1.5,92,1,13.2,5,174,2270,1
Dodge,Shadow,Small,11.3,23,29,1,1,4,2.2,93,1,14.0,5,172,2670,1
Dodge,Spirit,Compact,13.3,22,27,1,1,4,2.5,100,1,16.0,6,181,2970,1
Dodge,Caravan,Van,19.0,17,21,1,2,6,3.0,142,0,20.0,7,175,3705,1
Dodge,Dynasty,Midsize,15.6,21,27,1,1,4,2.5,100,0,16.0,6,192,3080,1
Dodge,Stealth,Sporty,25.8,18,24,1,2,6,3.0,300,1,19.8,4,180,3805,1
Eagle,Summit,Small,12.2,29,33,0,1,4,1.5,92,1,13.2,5,174,2295,1
Eagle,Vision,Large,19.3,20,28,2,1,6,3.5,214,0,18.0,6,202,3490,1
Ford,Festiva,Small,7.4,31,33,0,1,4,1.3,63,1,10.0,4,141,1845,1
Ford,Escort,Small,10.1,23,30,0,1,4,1.8,127,1,13.2,5,171,2530,1
Ford,Tempo,Compact,11.3,22,27,0,1,4,2.3,96,1,15.9,5,177,2690,1
Ford,Mustang,Sporty,15.9,22,29,1,0,4,2.3,105,1,15.4,4,180,2850,1
Ford,Probe,Sporty,14.0,24,30,1,1,4,2.0,115,1,15.5,4,179,2710,1
Ford,Aerostar,Van,19.9,15,20,1,2,6,3.0,145,1,21.0,7,176,3735,1
Ford,Taurus,Midsize,20.2,21,30,1,1,6,3.0,140,0,16.0,5,192,3325,1
Ford,Crown_Victoria,Large,20.9,18,26,1,0,8,4.6,190,0,20.0,6,212,3950,1
Geo,Metro,Small,8.4,46,50,0,1,3,1.0,55,1,10.6,4,151,1695,0
Geo,Storm,Sporty,12.5,30,36,1,1,4,1.6,90,1,12.4,4,164,2475,0
Honda,Prelude,Sporty,19.8,24,31,2,1,4,2.3,160,1,15.9,4,175,2865,0
Honda,Civic,Small,12.1,42,46,1,1,4,1.5,102,1,11.9,4,173,2350,0
Honda,Accord,Compact,17.5,24,31,2,1,4,2.2,140,1,17.0,4,185,3040,0
Hyundai,Excel,Small,8.0,29,33,0,1,4,1.5,81,1,11.9,5,168,2345,0
Hyundai,Elantra,Small,10.0,22,29,0,1,4,1.8,124,1,13.7,5,172,2620,0
Hyundai,Scoupe,Sporty,10.0,26,34,0,1,4,1.5,92,1,11.9,4,166,2285,0
Hyundai,Sonata,Midsize,13.9,20,27,0,1,4,2.0,128,1,17.2,5,184,2885,0
Infiniti,Q45,Midsize,47.9,17,22,1,0,8,4.5,278,0,22.5,5,200,4000,0
Lexus,ES300,Midsize,28.0,18,24,1,1,6,3.0,185,1,18.5,5,188,3510,0
Lexus,SC300,Midsize,35.2,18,23,2,0,6,3.0,225,1,20.6,4,191,3515,0
Lincoln,Continental,Midsize,34.3,17,26,2,1,6,3.8,160,0,18.4,6,205,3695,1
Lincoln,Town_Car,Large,36.1,18,26,2,0,8,4.6,210,0,20.0,6,219,4055,1
Mazda,323,Small,8.3,29,37,0,1,4,1.6,82,1,13.2,4,164,2325,0
Mazda,Protege,Small,11.6,28,36,0,1,4,1.8,103,1,14.5,5,172,2440,0
Mazda,626,Compact,16.5,26,34,1,1,4,2.5,164,1,15.5,5,184,2970,0
Mazda,MPV,Van,19.1,18,24,0,2,6,3.0,155,0,19.6,7,190,3735,0
Mazda,RX-7,Sporty,32.5,17,25,1,0,,1.3,255,1,20.0,2,169,2895,0
Mercedes-Benz,190E,Compact,31.9,20,29,1,0,4,2.3,130,1,14.5,5,175,2920,0
Mercedes-Benz,300E,Midsize,61.9,19,25,2,0,6,3.2,217,0,18.5,5,187,3525,0
Mercury,Capri,Sporty,14.1,23,26,1,1,4,1.6,100,1,11.1,4,166,2450,1
Mercury,Cougar,Midsize,14.9,19,26,0,0,6,3.8,140,0,18.0,5,199,3610,1
Mitsubishi,Mirage,Small,10.3,29,33,0,1,4,1.5,92,1,13.2,5,172,2295,0
Mitsubishi,Diamante,Midsize,26.1,18,24,1,1,6,3.0,202,0,19.0,5,190,3730,0
Nissan,Sentra,Small,11.8,29,33,1,1,4,1.6,110,1,13.2,5,170,2545,0
Nissan,Altima,Compact,15.7,24,30,1,1,4,2.4,150,1,15.9,5,181,3050,0
Nissan,Quest,Van,19.1,17,23,0,1,6,3.0,151,0,20.0,7,190,4100,0
Nissan,Maxima,Midsize,21.5,21,26,1,1,6,3.0,160,0,18.5,5,188,3200,0
Oldsmobile,Achieva,Compact,13.5,24,31,0,1,4,2.3,155,0,15.2,5,188,2910,1
